업소명,동별,주소,전화번호,위도,경도,데이터기준일
K마트,고성동,대구광역시 북구 고성북로 40,053-358-4782,35.8833996277,128.5836689477,2024-05-30
파워마트,고성동,대구광역시 북구 칠성남로 7,053-353-5235,35.8802220974,128.5812898955,2024-05-30
장보고식자재마트(칠성점),칠성동,대구광역시 북구 중앙대로 523,053-352-4992,35.8799647136,128.5951710035,2024-05-30
화성할인마트24,침산1동,대구광역시 북구 노원로 236,053-283-3033,35.9006166326,128.5856916806,2024-05-30
에스제이마트,침산2동,대구광역시 북구 중앙대로118길 46,053-422-6867,35.8833896205,128.5987602310,2024-05-30
유스파유마트,침산2동,대구광역시 북구 침산로32길 8,053-351-3311,35.8898692276,128.5919603831,2024-05-30
대백마트(팔달점),노원동,대구광역시 북구 팔달로33길 13,053-381-0556,35.8892945842,128.5678161955,2024-05-30
신우유통산격점,산격1동,대구광역시 북구 연암로 183,053-951-7400,35.9010967224,128.5958895363,2024-05-30
나이스마트,산격1동,대구광역시 북구 연암공원로 30,053-384-2522,35.8933792744,128.5978886284,2024-05-30
신우유통대우점,산격2동,대구광역시 북구 동북로 163,053-945-1234,35.8989133854,128.6125190158,2024-05-30
대백마트(산격점),산격3동,대구광역시 북구 산격로6길 7,053-942-9911,35.8926677085,128.6060768290,2024-05-30
웰빙할인마트,산격3동,대구광역시 북구 산격로10길 27,053-959-7031,35.8950699920,128.6082962665,2024-05-30
아하마트,산격4동,대구광역시 북구 산격로 71,053-944-0778,35.8970431875,128.6052342509,2024-05-30
드림마트(복현점),복현1동,대구광역시 북구 동북로 266,053-958-8085,35.8937555385,128.6193027497,2024-05-30
콜마트,복현1동,대구광역시 북구 경진로 30,053-951-8288,35.8941690296,128.6156934885,2024-05-30
나이스마트(복현점),복현1동,대구광역시 북구 경대로27길 7,053-957-9075,35.8920310395,128.6200371893,2024-05-30
대백마트(영진점),복현2동,대구광역시 북구 복현로 40,053-958-0437,35.8954420379,128.6248374714,2024-05-30
땡큐마트,대현동,대구광역시 북구 대현로19길 19,053-943-8900,35.8842556096,128.6097826154,2024-05-30
쉘마트,대현동,대구광역시 북구 대현남로2길 50,053-954-2634,35.8784822812,128.6060471314,2024-05-30
코사마트,대현동,대구광역시 북구 대현로21길 29,053-957-1953,35.8840214321,128.6101300082,2024-05-30
한양마트,대현동,대구광역시 북구 대현로3길 5,053-382-6380,35.8869293942,128.6030655701,2024-05-30
참마트,검단동,대구광역시 북구 검단동로4길 7,053-956-8002,35.9134813150,128.6263336003,2024-05-30
나이스마트(서변점),무태조야동,대구광역시 북구 호국로51길 35,053-939-5900,35.9242428398,128.5949701414,2024-05-30
OK마트 서변점,무태조야동,대구광역시 북구 호국로39길 2,053-952-3600,35.9193100192,128.5989599693,2024-05-30
대백마트 서변점,무태조야동,대구광역시 북구 서변로9길 6-10,053-954-3700,35.9204472219,128.5961862157,2024-05-30
대백마트 동변점,무태조야동,대구광역시 북구 동변로 88,053-951-1212,35.9214716961,128.6035172466,2024-05-30
신우유통,무태조야동,대구광역시 북구 조야로 58,053-951-4005,35.9122663003,128.5770302754,2024-05-30
한아름마트,무태조야동,대구광역시 북구 조야로 48,053-269-5353,35.9112784868,128.5772211344,2024-05-30
OK포인트마트 연경점,무태조야동,대구광역시 북구 연경지묘로 7 (연경동),053-314-6661,35.942305,128.614237,2024-05-30
매천생활용품,관문동,대구광역시 북구 칠곡중앙대로 43,053-325-8878,35.8999643282,128.5472800098,2024-05-30
셀할인마트,관문동,대구광역시 북구 한강로 55,053-313-1564,35.8987560119,128.5142403763,2024-05-30
우리마트,관문동,대구광역시 북구 매천로동17길 25,053-322-2200,35.9065826165,128.5404327022,2024-05-30
대백마트 금호사수점,관문동,대구광역시 북구 한강로4길 13-1,053-314-3106,35.8954159398,128.5148801323,2024-05-30
매진할인마트,관문동,대구광역시 북구 노곡로 17,053-321-6934,35.9060306866,128.5632284730,2024-05-30
대구유통,태전1동,대구광역시 북구 칠곡중앙대로 349,053-326-4992,35.9268728956,128.5472260655,2024-05-30
장보고식자재마트(칠곡점),태전1동,대구광역시 북구 칠곡중앙대로63길 6,053-311-7760,35.9241679956,128.5462075993,2024-05-30
A마트 태전점,태전1동,대구광역시 북구 태전로13길 10-15,053-323-9325,35.9255171265,128.5419109614,2024-05-30
탑할인마트,태전1동,대구광역시 북구 영송로 67,053-323-4149,35.9314651898,128.5442391723,2024-05-30
탑플러스마트,태전2동,대구광역시 북구 학정로7길 19,053-324-0107,35.9153440127,128.5464239926,2024-05-30
대백마트강북점,태전2동,대구광역시 북구 칠곡중앙대로46길 21,053-321-8905,35.9182655866,128.5494376560,2024-05-30
또또마트,태전2동,대구광역시 북구 태암남로1길 16,053-325-3669,35.9269042448,128.5487221809,2024-05-30
원마트,태전2동,대구광역시 북구 태암남로 9,053-321-5976,35.9256594210,128.5485325989,2024-05-30
유니온 마트,태전2동,대구광역시 북구 태암로4길 6-1,053-321-8696,35.9280877352,128.5491045770,2024-05-30
신바람홈마트,구암동,대구광역시 북구 팔거천동로4길 25,053-322-8997,35.9264782965,128.5541376762,2024-05-30
일마트,관음동,대구광역시 북구 관음중앙로17길 2,053-324-9551,35.9420287401,128.5444896932,2024-05-30
퍼펙트쇼핑관음,관음동,대구광역시 북구 관음중앙로 43,,35.9377354258,128.5440774834,2024-05-30
칠곡빅마트 관음점,관음동,대구광역시 북구 관음동로 127,1544-6625,35.9444451065,128.5473817815,2024-05-30
S(에스)마트,관음동,대구광역시 북구 관음중앙로13길 1,053-321-3020,35.9401276767,128.5442390486,2024-05-30
이푸드식자재마트,읍내동,대구광역시 북구 칠곡중앙대로126길 41,053-607-8000,35.9481324996,128.5553819405,2024-05-30
우리마트(칠곡시장점),읍내동,대구광역시 북구 칠곡중앙대로 526,053-327-2900,35.9425249571,128.5512210270,2024-05-30
홈플러스 칠곡점,동천동,대구광역시 북구 동암로12길 8,053-323-7763,35.9448499076,128.5559672179,2024-05-30
대백마트,국우동,대구광역시 북구 학남로 95,,35.9443225599,128.5698197313,2024-05-30
홈마트 학정점,국우동,대구광역시 북구 학정로110길 24,,35.9524400748,128.5668898629,2024-05-30
